Company Name,Job Title,Location,Job URL,Company LinkedIn,Job Description snippet
M+C Saatchi UK,Creative,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4388508849,https://uk.linkedin.com/company/m&c-saatchi,"Sport, culture and entertainment is where the most exciting work in marketing is happening right now. We’re looking for creatives who want to shape wh..."
PURPLE,Receptionist & Executive Assistant,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4389956724,https://uk.linkedin.com/company/purple,"Department: OperationsLocation: PURPLE LondonDescriptionPURPLE PR is a global communications agency specialising in luxury fashion, beauty, lifestyle,..."
Kurt Geiger,Wholesale Operations Assistant,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4389059893,https://uk.linkedin.com/company/kurt-geiger,"Kurt Geiger | About UsWe are an inclusive, creative footwear and accessories brand powered by kindness. We want to empower our talent to be confident ..."
SecurityHQ,Business Support Administrator,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4389205504,https://uk.linkedin.com/company/securityhq,"Job DescriptionWe’re looking for a proactive, highly organized Business Support Administrator to join our London office in a newly created part‑time r..."
M+C Saatchi Group,Creative,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4388568811,https://uk.linkedin.com/company/m-c-saatchi-group,"Sport, culture and entertainment is where the most exciting work in marketing is happening right now. We’re looking for creatives who want to shape wh..."
JPMorganChase,Business Assistant,"Greater London, England, United Kingdom",https://www.linkedin.com/jobs/view/4388231913,https://www.linkedin.com/company/jpmorganchase,"Job DescriptionStep into a pivotal role at the Global Corporate Bank, where your expertise will drive business success. As a Business Assistant, you w..."
Millennium Hotels UK/EU - Careers,Night Receptionist,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4388346911,https://uk.linkedin.com/company/millennium-hotels-uk-eu-careers,Millennium Hotel And Conference Centre Gloucester London Kensington is seeking a Night Receptionist to be responsible for providing guest services to ...
Department for Education,"Director General, Schools Group","London, England, United Kingdom",https://www.linkedin.com/jobs/view/4387962615,https://uk.linkedin.com/company/uk-department-for-education,"This role will require frequent presence in our London office, due to its proximity to Ministers, so you will need to be prepared to spend time there...."
Barts Health NHS Trust,Trust Doctor (eqv to ST1-2) in Critical Care Medicine,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4389726621,https://uk.linkedin.com/company/barts-health-nhs-trust,"Applications are invited for the above posts to commence on a rolling basis from August 2026 for 6 months in the first instance, renewable.The posts a..."
CNN,Audience Insights Analyst,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4388120511,https://www.linkedin.com/company/cnn,"Welcome to Warner Bros. Discovery… the stuff dreams are made of.Who We Are… When we say, “the stuff dreams are made of,” we’re not just referring to t..."
PureGym,People Business Partner,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4389328277,https://uk.linkedin.com/company/pure-gym,"The PureGym WayBenefitsPureGym is the No.1 gym operator in the UK, and the 4th largest gym operator worldwide. With 700+ gyms and over 2 million membe..."
NHS England,Head of Hospital Operations,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4387835386,https://uk.linkedin.com/company/nhsengland,"The New Hospital Programme is more than building hospitals, it’s a once in a generation opportunity to shape the future of healthcare in England. We’r..."
University College London Hospitals NHS Foundation Trust,Junior Clinical Fellow in Urogynaecology,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4389211954,https://uk.linkedin.com/company/uclh-nhs-foundation-trust,This Junior Clinical Fellow post in Urogynaecology offers an excellent opportunity to gain focused experience within a leading tertiary pelvic floor u...
HM Prison and Probation Service (HMPPS),Programme Facilitator (Probation Service Officer),"Greater London, England, United Kingdom",https://www.linkedin.com/jobs/view/4389212964,https://uk.linkedin.com/showcase/hm-prison-service/,"Ministry of JusticeStarting salary of £26,475, plus a London weighting allowance of £4,249 where this appliesAs a programme facilitator for the Probat..."
adam&eve\TBWA,Keep Me In Mind,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4389601295,https://uk.linkedin.com/company/adam&evetbwa,"We are the Feeling First agency. We believe in the power of emotion to change brands and businesses, including our own. We’re looking for change-maker..."
Young's Pubs,Receptionist,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4389241281,https://uk.linkedin.com/company/youngspubs,We are looking for some amazing individuals to join our vibrant and energetic team in Parson’s Green. We hand pick our team based on their personaliti...
Fox's Burton's Companies (FBC) UK,Marketing Intern,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4388669532,https://uk.linkedin.com/company/foxs-burtons-companies-fbcuk,"Date: Mar 20, 2026Location:London, GBPlace of Work: HybridCompany DescriptionWe are FBC UK, Fox's Burton's Companies! ……And we bake the UK's most incr..."
itsu,Team Member,"Kingston Upon Thames, England, United Kingdom",https://www.linkedin.com/jobs/view/4389772628,https://uk.linkedin.com/company/itsu-cp,"We are itsu, the leading Asian-inspired quick-service retail and grocery brand with over 80 restaurants across the UK and Belgium, and a growing whole..."
UK Ministry of Defence,EO Practice Manager,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4390127665,https://uk.linkedin.com/company/uk-ministry-of-defence,"Mons Medical Centre, SHAPE Healthcare Facility, Building 401, Avenue d'Oslo, SHAPE, 7010 Maisieres, Belguim, 7010 MaisieresJob SummaryHere at Defence ..."
South London and Maudsley NHS Foundation Trust,CAMHS Practitioner - Lambeth CAMHS Neurodevelopmental Pathway,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4387826640,https://uk.linkedin.com/company/south-london-and-maudsley-nhs-foundation-trust,"Fixed term maternity cover**We are seeking an enthusiastic, motivated and experienced Neurodevelopmental Child and Adolescent Mental Health Service (C..."
King's College Hospital NHS Foundation Trust,Ward Leader,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4388356793,https://uk.linkedin.com/company/king's-college-hospital-nhs-foundation-trust,"We are seeking for a highly motivated, flexible and enthusiastic individual to recruit into a Band 7 Ward Leader position within our world leading liv..."
Canva,"Brand Designer, 6-month contract","London, England, United Kingdom",https://www.linkedin.com/jobs/view/4389810685,https://au.linkedin.com/company/canva,"Job DescriptionJoin the team redefining how the world experiences design.Hey, g'day, mabuhay, kia ora, 你好, hallo, vítejte!Thanks for stopping by. We k..."
South London and Maudsley NHS Foundation Trust,Senior Business and Performance Manager,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4387823682,https://uk.linkedin.com/company/south-london-and-maudsley-nhs-foundation-trust,An exciting opportunity has arisen in the Lewisham and Addictions Directorate Leadership Team for a Senior Business & Performance Manager. The role is...
J.P. Morgan,Executive Assistant,"City Of London, England, United Kingdom",https://www.linkedin.com/jobs/view/4388334696,https://www.linkedin.com/company/jpmorgan,Executive Assistant Location: Canary Wharf Role Type: Contract - 3 months rolling  Work Setup: Onsite - 5 Days in the officeWho You Will Work WithJPMo...
Condé Nast,"Photo Editor, WIRED","London, England, United Kingdom",https://www.linkedin.com/jobs/view/4388513830,https://www.linkedin.com/company/conde-nast,"WIRED is where a better future is imagined. For three decades, we have been the indispensable guide to a world in constant transformation. We cover hu..."
Paul Smith,Temporary Showroom Assistant,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4388456543,https://uk.linkedin.com/company/paul-smith,"Paul Smith is one of Britain’s leading independent design companies. We champion positivity, curiosity and creativity. These qualities underpin every ..."
Jaded London,Customer Care Assistant,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4388452737,https://uk.linkedin.com/company/jaded-london-limited,"Reports to:Customer Care LeadRole Overview:From the moment a Jaded customer places an order to the final delivery at their doorstep, our Customer Care..."
ASOS.com,Junior Operations Coordinator,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4388440702,https://uk.linkedin.com/company/asos-com,"We're ASOS. We blend our flair for fashion with our love of cutting- edge technology, but more importantly were interested in how we can bring the bes..."
LaplandUK,Studios Coordinator,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4390310325,https://uk.linkedin.com/company/laplanduk,"Job Description for Studios Coordinator Company OverviewFounded in 2007 by Mike and Alison Battle, Lapland began with a simple but powerful purpose: t..."
Upwork,English Voice Actors for AI Training (in studio),"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4388083693,https://www.linkedin.com/company/upwork,An enterprise client is seeking freelancers with voice acting experience to create content for generative AI models to ensure accuracy and relevance a...
Pret A Manger,People Advisor,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4389728803,https://uk.linkedin.com/company/pret-a-manger,"We’re Pret: proud makers of freshly made food, organic coffee, and big ideas . Across 750+ shops and 20+ countries, our teams are shaping the future o..."
itsu,Team Member [FTC 6 Months],"Stansted, England, United Kingdom",https://www.linkedin.com/jobs/view/4389772629,https://uk.linkedin.com/company/itsu-cp,"We are itsu, the leading Asian-inspired quick-service retail and grocery brand with over 80 restaurants across the UK and Belgium, and a growing whole..."
Imperial War Museums,Volunteering Officer,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4387948990,https://uk.linkedin.com/company/imperial-war-museum,"What It’s Like To Work HereAt IWM, we’re passionate about helping people understand the impact of conflict on lives, communities and society. Our volu..."
Empatica,Clinical Education Consultant,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4387810632,https://www.linkedin.com/company/empatica,EmpaticaEmpatica is a full-stack digital healthcare company and a pioneer in digital biomarker development and continuous patient monitoring driven by...
leManoosh,Designer,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4388202799,https://uk.linkedin.com/company/lemanoosh,The OpportunityLuxury lighting and furniture brand Gabriel Scott is looking for a designer to join its team in London.OverviewGabriel Scott is a luxur...
Skanska Costain STRABAG Joint Venture,"Health, Safety & Wellbeing Advisor","London, England, United Kingdom",https://www.linkedin.com/jobs/view/4387881658,https://uk.linkedin.com/company/scs-jv,"Salary Competitive with excellent benefits packageJob Reference scsrail/TP/68/3836Contract Type PermanentClosing Date 5 April, 2026Job Category Projec..."
Neg Earth Lights,Project Coordinator,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4388351938,https://uk.linkedin.com/company/neg-earth-lights,"What makes Neg Earth different and what we can offer youFounded in 1983 by Dave & Pip Ridgway, Neg Earth Lights is a family-owned lighting and rigging..."
Paris Georgia,Junior E-Commerce & Marketing Assistant,"London Area, United Kingdom",https://www.linkedin.com/jobs/view/4389020238,https://nz.linkedin.com/company/paris-georgia,Junior E-Commerce & Marketing AssistantSalary £30-35k We are seeking a highly organised and proactive Junior E-Commerce & Operations Assistant to supp...
Brindisa Tapas,Reservations Host,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4389410224,https://uk.linkedin.com/company/brindisa-tapas,Reservation HostWe are looking for a bubbly Reservations Host to join our Brindisa family. You will be the first and the last person our guests see an...
Ministry of Justice UK,Education and Awareness Lead (Ref: 16068),"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4389594758,https://uk.linkedin.com/company/uk-ministry-of-justice,"This position is based at 102 PETTY FRANCE (MOJ) LONDON, SW1H 9AJ, BRANSTON REGISTRY BURTON-ON-TRENT, DE14 3EG, MOJ JCC Jarrow Berkley Way, NE31 1SFJo..."
Bespoke Hotels,Events Manager,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4388202663,https://uk.linkedin.com/company/bespoke-hotels,"We currently have an exciting opportunity to join the team as Events Manager at Sun Street Hotel. With an initial focus of building our opening team, ..."
Motel Rocks,Junior Designer,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4389317790,https://uk.linkedin.com/company/motel-rocks,"LocationLondon, UKTypeFull-Time, PermanentWelcome to MotelOur story began during a road trip in the 1990s, where our founders, Will and Andy, travelle..."
Local Government Chronicle,"Director of Marketing, Communications and Audiences","London, England, United Kingdom",https://www.linkedin.com/jobs/view/4388240208,https://uk.linkedin.com/company/localgovernmentchronicle,"By clicking any link on this page you are giving your consent for us to set cookies.More information OK, I agreeSkip to main content Google Tag Manage..."
Bespoke Hotels,Reservations Agent,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4388208349,https://uk.linkedin.com/company/bespoke-hotels,We currently have an amazing opportunity to join the team as Reservations Agent.We truly believe our people are our biggest asset and to reflect that ...
Guardian Jobs,"Receptionist (Part time), KINGS COLLEGE SCHOOL","London, England, United Kingdom",https://www.linkedin.com/jobs/view/4387971206,https://uk.linkedin.com/company/guardian-jobs,King’s College School’s main reception is situated in the Great Hall on the corner of Wimbledon Common. Our reception often provides visitors with the...
NHS Scotland,Art Therapist Specialist Children&#x2019;s Services,"Greater London, England, United Kingdom",https://www.linkedin.com/jobs/view/4387905560,https://uk.linkedin.com/company/nhsscotland,"NHS Greater Glasgow and Clyde (NHSGGC) is one of the largest healthcare systems in the United Kingdom, employing approximately 40,000 staff across a w..."
Locke Hotels,Receptionist,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4388597193,https://uk.linkedin.com/company/locke-hotels,"Be part of an exciting new hotel opening.We’re launching a brand-new hotel in the heart of Canary Wharf in April 2026, featuring 279 rooms across 19 f..."
The Shrewsbury and Telford Hospital NHS Trust,Communications and Engagement Assistant,"Greater London, England, United Kingdom",https://www.linkedin.com/jobs/view/4388143986,https://uk.linkedin.com/company/the-shrewsbury-and-telford-hospital-nhs-trust,"The Communications team provides the full range of corporate internal and external communications, including creative and marketing services, event ma..."
CNN,"Associate Data & Graphics Editor, CNN Digital Visuals","London, England, United Kingdom",https://www.linkedin.com/jobs/view/4389762074,https://www.linkedin.com/company/cnn,"Welcome to Warner Bros. Discovery… the stuff dreams are made of.Who We Are… When we say, “the stuff dreams are made of,” we’re not just referring to t..."
Citywire,Multimedia Journalist/Content Creator,"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4388332953,https://uk.linkedin.com/company/citywire,"We’re looking for a creative and purpose-driven Multimedia Journalist/Content Creator to join our team, helping to make finance and investment engagin..."
a&o Hostels,Side job: Reception Staff / Night Audit (all genders),"London, England, United Kingdom",https://www.linkedin.com/jobs/view/4389325479,https://de.linkedin.com/company/aohostels,We are looking for YOU! - A hardworking and independent side jobber (all genders) as Night Receptionist / Night Audit.This job is particularly well su...
